"id";"cidade";"latitude";"longitude"
276;"Planalto";-25,7211;-53,7642
277;"Ponta Grossa";-25,0916;-50,1668
278;"Pontal do Paraná";-25,6735;-48,5111
279;"Porecatu";-22,7537;-51,3795
280;"Porto Amazonas";-25,54;-49,8946
281;"Porto Barreiro";-25,5477;-52,4067
282;"Porto Rico";-22,7747;-53,2677
283;"Porto Vitória";-26,1674;-51,231
284;"Prado Ferreira";-23,0357;-51,4429
285;"Pranchita";-26,0209;-53,7397
286;"Presidente Castelo Branco";-23,2782;-52,1536
287;"Primeiro de Maio";-22,8517;-51,0293
288;"Prudentópolis";-25,2111;-50,9754
289;"Quarto Centenário";-24,2775;-53,0759
290;"Quatiguá";-23,5671;-49,916
291;"Quatro Barras";-25,3673;-49,0763
292;"Quatro Pontes";-24,5752;-53,9759
293;"Quedas do Iguaçu";-25,4492;-52,9102
294;"Querência do Norte";-23,0838;-53,483
295;"Quinta do Sol";-23,8533;-52,1309
296;"Quitandinha";-25,8734;-49,4973
297;"Ramilândia";-25,1195;-54,023
298;"Rancho Alegre D'Oeste";-24,3065;-52,9552
299;"Rancho Alegre";-23,0676;-50,9145
300;"Realeza";-25,7711;-53,526
301;"Rebouças";-25,6232;-50,6877
302;"Renascença";-26,1588;-52,9703
303;"Reserva do Iguaçu";-25,8319;-52,0272
304;"Reserva";-24,6492;-50,8466
305;"Ribeirão Claro";-23,1941;-49,7597
306;"Ribeirão do Pinhal";-23,4091;-50,3601
307;"Rio Azul";-25,7306;-50,7985
308;"Rio Bom";-23,7606;-51,4122
309;"Rio Bonito do Iguaçu";-25,4874;-52,5292
310;"Rio Branco do Ivaí";-24,3244;-51,3187
311;"Rio Branco do Sul";-25,1892;-49,3115
312;"Rio Negro";-26,095;-49,7982
313;"Rolândia";-23,3101;-51,3659
314;"Roncador";-24,5958;-52,2716
315;"Rondon";-23,412;-52,7659
316;"Rosário do Ivaí";-24,2682;-51,272
317;"Sabáudia";-23,3155;-51,555
318;"Salgado Filho";-26,1777;-53,3631
319;"Salto do Itararé";-23,6074;-49,6354
320;"Salto do Lontra";-25,7813;-53,3135
321;"Santa Amélia";-23,2654;-50,4288
322;"Santa Cecília do Pavão";-23,5201;-50,7835
323;"Santa Cruz de Monte Castelo";-22,9582;-53,2949
324;"Santa Fé";-23,04;-51,808
325;"Santa Helena";-24,8585;-54,336
326;"Santa Inês";-22,6376;-51,9024
327;"Santa Isabel do Ivaí";-23,0025;-53,1989
328;"Santa Izabel do Oeste";-25,8217;-53,4801
